var,est,lowCI,upCI,tsLength,buffer,responseVar,greenSpaceVar,biome,pollutant,aic,r2m,r2c
total_precipitation,-0.05656855736186526,-0.07618775407582704,-0.036949360647903474,6,500,ConcentrationMean,ndvi,Forest coniferous,PM10,-1131.4529086855955,0.1797404586569378,0.8991299144441495
relative_humidity,-0.08357478093794488,-0.1114270619648648,-0.05572249991102496,6,500,ConcentrationMean,ndvi,Forest coniferous,PM10,-1131.4529086855955,0.1797404586569378,0.8991299144441495
temperature_2m,0.04054672610206715,0.011329378400984528,0.06976407380314978,6,500,ConcentrationMean,ndvi,Forest coniferous,PM10,-1131.4529086855955,0.1797404586569378,0.8991299144441495
wind_abs,-0.02576895184220586,-0.04764224458592482,-0.0038956590984868984,6,500,ConcentrationMean,ndvi,Forest coniferous,PM10,-1131.4529086855955,0.1797404586569378,0.8991299144441495
green,0.08203230236337847,0.02854768940467177,0.13551691532208515,6,500,ConcentrationMean,ndvi,Forest coniferous,PM25,-88.89299857534388,0.1261262842008692,0.914769595976265
totEmission,-0.02208930547124611,-0.09914604937244212,0.05496743842994989,6,500,ConcentrationMean,ndvi,Forest coniferous,PM25,-88.89299857534388,0.1261262842008692,0.914769595976265
total_precipitation,-0.05057279848558391,-0.09017050638619153,-0.010975090584976276,6,500,ConcentrationMean,ndvi,Forest coniferous,PM25,-88.89299857534388,0.1261262842008692,0.914769595976265
relative_humidity,-0.07690759098048698,-0.1302821150581716,-0.023533066902802352,6,500,ConcentrationMean,ndvi,Forest coniferous,PM25,-88.89299857534388,0.1261262842008692,0.914769595976265
temperature_2m,0.008098062753579228,-0.05017802982853171,0.06637415533569016,6,500,ConcentrationMean,ndvi,Forest coniferous,PM25,-88.89299857534388,0.1261262842008692,0.914769595976265
wind_abs,-0.07781246870595265,-0.11681196922577958,-0.038812968186125736,6,500,ConcentrationMean,ndvi,Forest coniferous,PM25,-88.89299857534388,0.1261262842008692,0.914769595976265
green,-0.013378071524575907,-0.03272586931492498,0.005969726265773164,6,500,ConcentrationMean,ndvi,Forest coniferous,O3,-1342.5250598785397,0.2574497714072482,0.8608690925589327
totEmission,0.00121953435928603,-0.027136046652570533,0.02957511537114259,6,500,ConcentrationMean,ndvi,Forest coniferous,O3,-1342.5250598785397,0.2574497714072482,0.8608690925589327
total_precipitation,0.009859361159593837,-0.003190538191383872,0.022909260510571544,6,500,ConcentrationMean,ndvi,Forest coniferous,O3,-1342.5250598785397,0.2574497714072482,0.8608690925589327
relative_humidity,-0.10011283717020228,-0.12197412246780388,-0.07825155187260067,6,500,ConcentrationMean,ndvi,Forest coniferous,O3,-1342.5250598785397,0.2574497714072482,0.8608690925589327
temperature_2m,-0.04610652149136255,-0.07183542800946058,-0.02037761497326453,6,500,ConcentrationMean,ndvi,Forest coniferous,O3,-1342.5250598785397,0.2574497714072482,0.8608690925589327
wind_abs,0.029343749922195073,0.007890593922581363,0.050796905921808785,6,500,ConcentrationMean,ndvi,Forest coniferous,O3,-1342.5250598785397,0.2574497714072482,0.8608690925589327
green,-0.024673256650481618,-0.06034116897756824,0.010994655676605007,6,500,ConcentrationMean,ndvi,Savanna/grassland,NO2,-804.9280361139097,0.12792551857650963,0.9480278726309713
totEmission,-0.008135277263851005,-0.034346308664689636,0.018075754136987622,6,500,ConcentrationMean,ndvi,Savanna/grassland,NO2,-804.9280361139097,0.12792551857650963,0.9480278726309713
total_precipitation,0.00886299160283372,-0.012620752240839092,0.030346735446506533,6,500,ConcentrationMean,ndvi,Savanna/grassland,NO2,-804.9280361139097,0.12792551857650963,0.9480278726309713
relative_humidity,-0.0788458963988383,-0.11938170348661976,-0.038310089311056825,6,500,ConcentrationMean,ndvi,Savanna/grassland,NO2,-804.9280361139097,0.12792551857650963,0.9480278726309713
temperature_2m,-0.06537993181102494,-0.10952656702100075,-0.021233296601049133,6,500,ConcentrationMean,ndvi,Savanna/grassland,NO2,-804.9280361139097,0.12792551857650963,0.9480278726309713
wind_abs,-0.019312932851427697,-0.04572110641597796,0.00709524071312256,6,500,ConcentrationMean,ndvi,Savanna/grassland,NO2,-804.9280361139097,0.12792551857650963,0.9480278726309713
green,-0.032657346133607365,-0.0905494489137034,0.02523475664648866,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM10,-110.92182689391313,0.3431913020396084,0.7637740920535413
totEmission,0.007532724898892357,-0.04758007805591515,0.06264552785369987,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM10,-110.92182689391313,0.3431913020396084,0.7637740920535413
total_precipitation,-0.03528203589277694,-0.10152470798894678,0.0309606362033929,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM10,-110.92182689391313,0.3431913020396084,0.7637740920535413
relative_humidity,-0.13006143200348977,-0.21775742929312505,-0.04236543471385448,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM10,-110.92182689391313,0.3431913020396084,0.7637740920535413
temperature_2m,0.04825782950039844,-0.019000485845145694,0.11551614484594258,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM10,-110.92182689391313,0.3431913020396084,0.7637740920535413
wind_abs,0.003763454307233051,-0.03272520157278017,0.040252110187246275,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM10,-110.92182689391313,0.3431913020396084,0.7637740920535413
green,-0.02685716887759036,-0.0661135394016919,0.01239920164651118,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.78770943832296,0.2887782013486232,0.6721114737857877
totEmission,0.018511561719664008,-0.02548463944216778,0.0625077628814958,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.78770943832296,0.2887782013486232,0.6721114737857877
total_precipitation,0.020224517146958044,-0.015070662617362358,0.05551969691127845,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.78770943832296,0.2887782013486232,0.6721114737857877
relative_humidity,-0.07936634389221331,-0.12955289694120017,-0.02917979084322645,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.78770943832296,0.2887782013486232,0.6721114737857877
temperature_2m,0.041029727449371015,-0.0015609722053025327,0.08362042710404456,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.78770943832296,0.2887782013486232,0.6721114737857877
wind_abs,-0.0016155506764125448,-0.029846245594083824,0.026615144241258736,6,500,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.78770943832296,0.2887782013486232,0.6721114737857877
green,-0.010694090242268122,-0.02332689308792566,0.0019387126033894187,6,500,ConcentrationMean,ndvi,Savanna/grassland,O3,-3018.3528637636687,0.23555405248413816,0.7921746215415083
totEmission,4.4235160487094956e-4,-0.011559491777897368,0.012444194987639266,6,500,ConcentrationMean,ndvi,Savanna/grassland,O3,-3018.3528637636687,0.23555405248413816,0.7921746215415083
total_precipitation,0.008294825676549267,-0.0010566931784253934,0.017646344531523927,6,500,ConcentrationMean,ndvi,Savanna/grassland,O3,-3018.3528637636687,0.23555405248413816,0.7921746215415083
relative_humidity,-0.06907237436953037,-0.08421293478372048,-0.05393181395534027,6,500,ConcentrationMean,ndvi,Savanna/grassland,O3,-3018.3528637636687,0.23555405248413816,0.7921746215415083
temperature_2m,0.01695133352985888,0.002756493060855753,0.03114617399886201,6,500,ConcentrationMean,ndvi,Savanna/grassland,O3,-3018.3528637636687,0.23555405248413816,0.7921746215415083
wind_abs,0.008868693151329252,-0.0019268645727116753,0.01966425087537018,6,500,ConcentrationMean,ndvi,Savanna/grassland,O3,-3018.3528637636687,0.23555405248413816,0.7921746215415083
green,0.009094495228370698,0.0024238631770584808,0.015765127279682916,6,500,ConcentrationMax,treePerc,Forest mixed,NO2,-4316.310958311355,0.06896654669189163,0.8627646991710206
totEmission,0.043535686054639276,0.03166880630313194,0.055402565806146616,6,500,ConcentrationMax,treePerc,Forest mixed,NO2,-4316.310958311355,0.06896654669189163,0.8627646991710206
total_precipitation,-0.03007450794435362,-0.03789416854805181,-0.02225484734065543,6,500,ConcentrationMax,treePerc,Forest mixed,NO2,-4316.310958311355,0.06896654669189163,0.8627646991710206
relative_humidity,-0.002093301003839707,-0.010727813217224668,0.006541211209545254,6,500,ConcentrationMax,treePerc,Forest mixed,NO2,-4316.310958311355,0.06896654669189163,0.8627646991710206
temperature_2m,-0.05365178172353269,-0.06479673723111468,-0.0425068262159507,6,500,ConcentrationMax,treePerc,Forest mixed,NO2,-4316.310958311355,0.06896654669189163,0.8627646991710206
