var,est,lowCI,upCI,tsLength,buffer,responseVar,greenSpaceVar,biome,pollutant,aic,r2m,r2c
relative_humidity,-0.04796497922838061,-0.06938633952392857,-0.026543618932832646,6,120,ConcentrationMean,ndvi,Forest coniferous,NO2,-1212.2672289106313,0.06774756947974367,0.944848912466054
temperature_2m,-0.024840357515199,-0.055090439970900254,0.005409724940502257,6,120,ConcentrationMean,ndvi,Forest coniferous,NO2,-1212.2672289106313,0.06774756947974367,0.944848912466054
wind_abs,-0.029820645105270615,-0.05225898244305581,-0.007382307767485417,6,120,ConcentrationMean,ndvi,Forest coniferous,NO2,-1212.2672289106313,0.06774756947974367,0.944848912466054
green,0.03880396723559202,0.012053435354900818,0.06555449911628322,6,120,ConcentrationMean,ndvi,Forest coniferous,PM10,-1138.0935618734393,0.1915262325198537,0.8987304398601805
totEmission,0.014714508100680423,-0.021625628949180686,0.05105464515054153,6,120,ConcentrationMean,ndvi,Forest coniferous,PM10,-1138.0935618734393,0.1915262325198537,0.8987304398601805
total_precipitation,-0.05657175836249621,-0.07612715111446251,-0.037016365610529914,6,120,ConcentrationMean,ndvi,Forest coniferous,PM10,-1138.0935618734393,0.1915262325198537,0.8987304398601805
relative_humidity,-0.08542048310284428,-0.11313271011424328,-0.05770825609144528,6,120,ConcentrationMean,ndvi,Forest coniferous,PM10,-1138.0935618734393,0.1915262325198537,0.8987304398601805
temperature_2m,0.04003513730902262,0.010915912084235486,0.06915436253380974,6,120,ConcentrationMean,ndvi,Forest coniferous,PM10,-1138.0935618734393,0.1915262325198537,0.8987304398601805
wind_abs,-0.02638779317475474,-0.0481975375058219,-0.004578048843687586,6,120,ConcentrationMean,ndvi,Forest coniferous,PM10,-1138.0935618734393,0.1915262325198537,0.8987304398601805
green,0.07517991723487283,0.01903181271521924,0.1313280217545264,6,120,ConcentrationMean,ndvi,Forest coniferous,PM25,-86.87039784710305,0.12624446965598132,0.915114363650104
totEmission,-0.021620555819516624,-0.09892955668279618,0.05568844504376294,6,120,ConcentrationMean,ndvi,Forest coniferous,PM25,-86.87039784710305,0.12624446965598132,0.915114363650104
total_precipitation,-0.049717636354104276,-0.08945374650175847,-0.009981526206450077,6,120,ConcentrationMean,ndvi,Forest coniferous,PM25,-86.87039784710305,0.12624446965598132,0.915114363650104
relative_humidity,-0.07721395016703131,-0.13079920456893043,-0.023628695765132192,6,120,ConcentrationMean,ndvi,Forest coniferous,PM25,-86.87039784710305,0.12624446965598132,0.915114363650104
temperature_2m,0.009132474240659967,-0.04923030438345384,0.06749525286477377,6,120,ConcentrationMean,ndvi,Forest coniferous,PM25,-86.87039784710305,0.12624446965598132,0.915114363650104
wind_abs,-0.08053845684154486,-0.11965733511680224,-0.04141957856628748,6,120,ConcentrationMean,ndvi,Forest coniferous,PM25,-86.87039784710305,0.12624446965598132,0.915114363650104
green,-0.019456294088716696,-0.03975618753704489,8.435993596115042e-4,6,120,ConcentrationMean,ndvi,Forest coniferous,O3,-1344.2963375852996,0.2637951116096366,0.8629310285010765
totEmission,6.692577643151055e-4,-0.027706787398694532,0.02904530292732474,6,120,ConcentrationMean,ndvi,Forest coniferous,O3,-1344.2963375852996,0.2637951116096366,0.8629310285010765
total_precipitation,0.009774369562079365,-0.0032505586255602847,0.022799297749719016,6,120,ConcentrationMean,ndvi,Forest coniferous,O3,-1344.2963375852996,0.2637951116096366,0.8629310285010765
relative_humidity,-0.09960148384645856,-0.12145590540158302,-0.0777470622913341,6,120,ConcentrationMean,ndvi,Forest coniferous,O3,-1344.2963375852996,0.2637951116096366,0.8629310285010765
temperature_2m,-0.04677029008607183,-0.07250373862336659,-0.02103684154877706,6,120,ConcentrationMean,ndvi,Forest coniferous,O3,-1344.2963375852996,0.2637951116096366,0.8629310285010765
wind_abs,0.02923966961401128,0.007808129607591811,0.05067120962043074,6,120,ConcentrationMean,ndvi,Forest coniferous,O3,-1344.2963375852996,0.2637951116096366,0.8629310285010765
green,-0.007732003413218244,-0.039878376027512395,0.024414369201075904,6,120,ConcentrationMean,ndvi,Savanna/grassland,NO2,-803.2378288745681,0.11662518001065604,0.9498792931158178
totEmission,-0.009375524416110113,-0.03570809044882797,0.016957041616607743,6,120,ConcentrationMean,ndvi,Savanna/grassland,NO2,-803.2378288745681,0.11662518001065604,0.9498792931158178
total_precipitation,0.008385074616142721,-0.01308203736863268,0.029852186600918124,6,120,ConcentrationMean,ndvi,Savanna/grassland,NO2,-803.2378288745681,0.11662518001065604,0.9498792931158178
relative_humidity,-0.08193013845824877,-0.12246313855874084,-0.0413971383577567,6,120,ConcentrationMean,ndvi,Savanna/grassland,NO2,-803.2378288745681,0.11662518001065604,0.9498792931158178
temperature_2m,-0.06405502260040949,-0.1084325141942632,-0.019677531006555775,6,120,ConcentrationMean,ndvi,Savanna/grassland,NO2,-803.2378288745681,0.11662518001065604,0.9498792931158178
wind_abs,-0.017334318133318424,-0.043752120941600775,0.009083484674963931,6,120,ConcentrationMean,ndvi,Savanna/grassland,NO2,-803.2378288745681,0.11662518001065604,0.9498792931158178
green,-0.03867236652122062,-0.09837831217013467,0.021033579127693422,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM10,-111.38582173481927,0.3480342187802434,0.7643877409606923
totEmission,0.0076393296693072045,-0.04734162885653693,0.06262028819515134,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM10,-111.38582173481927,0.3480342187802434,0.7643877409606923
total_precipitation,-0.03476074432554675,-0.10082915416716913,0.031307665516075625,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM10,-111.38582173481927,0.3480342187802434,0.7643877409606923
relative_humidity,-0.12767350546725043,-0.21504717938606832,-0.04029983154843253,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM10,-111.38582173481927,0.3480342187802434,0.7643877409606923
temperature_2m,0.047122066303198464,-0.018908557854885717,0.11315269046128265,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM10,-111.38582173481927,0.3480342187802434,0.7643877409606923
wind_abs,0.002700037767304217,-0.03378792206585442,0.03918799760046285,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM10,-111.38582173481927,0.3480342187802434,0.7643877409606923
green,-0.022032914171164448,-0.06040118898009467,0.016335360637765774,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.2067497642754,0.2853803906187987,0.6701675958939489
totEmission,0.020028026602135963,-0.023856814789393006,0.06391286799366494,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.2067497642754,0.2853803906187987,0.6701675958939489
total_precipitation,0.018910812287924923,-0.016566418853927015,0.054388043429776864,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.2067497642754,0.2853803906187987,0.6701675958939489
relative_humidity,-0.07801370706305163,-0.12979917804009686,-0.026228236086006405,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.2067497642754,0.2853803906187987,0.6701675958939489
temperature_2m,0.04177231141275803,-0.0011418132584410656,0.08468643608395712,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.2067497642754,0.2853803906187987,0.6701675958939489
wind_abs,-0.0010324057640142162,-0.029281716192241958,0.027216904664213525,6,120,ConcentrationMean,ndvi,Savanna/grassland,PM25,-331.2067497642754,0.2853803906187987,0.6701675958939489
green,-0.004689549454968514,-0.01703149252863935,0.007652393618702321,6,120,ConcentrationMean,ndvi,Savanna/grassland,O3,-3016.171165144656,0.2311235726613609,0.7871848915895514
totEmission,5.699154844996823e-4,-0.011411440792993464,0.01255127176199283,6,120,ConcentrationMean,ndvi,Savanna/grassland,O3,-3016.171165144656,0.2311235726613609,0.7871848915895514
total_precipitation,0.008463740364410874,-8.971706687427305e-4,0.017824651397564478,6,120,ConcentrationMean,ndvi,Savanna/grassland,O3,-3016.171165144656,0.2311235726613609,0.7871848915895514
relative_humidity,-0.07143393103737483,-0.08664119002519101,-0.05622667204955866,6,120,ConcentrationMean,ndvi,Savanna/grassland,O3,-3016.171165144656,0.2311235726613609,0.7871848915895514
temperature_2m,0.016888176943116583,0.002701250541002141,0.031075103345231024,6,120,ConcentrationMean,ndvi,Savanna/grassland,O3,-3016.171165144656,0.2311235726613609,0.7871848915895514
wind_abs,0.009237071200251828,-0.001545425919820393,0.02001956832032405,6,120,ConcentrationMean,ndvi,Savanna/grassland,O3,-3016.171165144656,0.2311235726613609,0.7871848915895514
green,0.006522348677908823,9.20904756534547e-4,0.012123792599283098,6,120,ConcentrationMax,treePerc,Forest mixed,NO2,-4248.121373620037,0.06825837132071018,0.8623016063767962
totEmission,0.04335848314624176,0.03138810788103814,0.05532885841144538,6,120,ConcentrationMax,treePerc,Forest mixed,NO2,-4248.121373620037,0.06825837132071018,0.8623016063767962
total_precipitation,-0.029879887394952113,-0.03775556498052537,-0.02200420980937886,6,120,ConcentrationMax,treePerc,Forest mixed,NO2,-4248.121373620037,0.06825837132071018,0.8623016063767962
relative_humidity,-0.0015100136241855589,-0.01014044615510369,0.007120418906732573,6,120,ConcentrationMax,treePerc,Forest mixed,NO2,-4248.121373620037,0.06825837132071018,0.8623016063767962
temperature_2m,-0.05393233876804657,-0.06513936607222665,-0.04272531146386649,6,120,ConcentrationMax,treePerc,Forest mixed,NO2,-4248.121373620037,0.06825837132071018,0.8623016063767962
wind_abs,-0.018067834817162443,-0.026832364651137093,-0.009303304983187793,6,120,ConcentrationMax,treePerc,Forest mixed,NO2,-4248.121373620037,0.06825837132071018,0.8623016063767962
green,0.0013097749600553673,-0.005638250694405442,0.008257800614516177,6,120,ConcentrationMax,treePerc,Forest mixed,PM10,-1333.8522698727465,0.1089378591330301,0.8271244076490053
totEmission,0.020764605484653607,0.005350841039868997,0.036178369929438216,6,120,ConcentrationMax,treePerc,Forest mixed,PM10,-1333.8522698727465,0.1089378591330301,0.8271244076490053
total_precipitation,-0.03042114659344996,-0.0398741260672595,-0.02096816711964042,6,120,ConcentrationMax,treePerc,Forest mixed,PM10,-1333.8522698727465,0.1089378591330301,0.8271244076490053
relative_humidity,-0.03960450382314633,-0.04923757299646064,-0.02997143464983201,6,120,ConcentrationMax,treePerc,Forest mixed,PM10,-1333.8522698727465,0.1089378591330301,0.8271244076490053
temperature_2m,-0.06793970454310208,-0.08109142488033172,-0.054787984205872435,6,120,ConcentrationMax,treePerc,Forest mixed,PM10,-1333.8522698727465,0.1089378591330301,0.8271244076490053
wind_abs,0.04406520218152933,0.033969096135311586,0.054161308227747076,6,120,ConcentrationMax,treePerc,Forest mixed,PM10,-1333.8522698727465,0.1089378591330301,0.8271244076490053
green,-0.00808922390823409,-0.01925819171509488,0.0030797438986267,6,120,ConcentrationMax,treePerc,Forest mixed,PM25,46.2070896782061,0.0936274793853299,0.8776548721324782
totEmission,2.707493565128859e-4,-0.031625065453627754,0.03216656416665353,6,120,ConcentrationMax,treePerc,Forest mixed,PM25,46.2070896782061,0.0936274793853299,0.8776548721324782
total_precipitation,-0.0167729376906884,-0.03146806987447236,-0.0020778055069044406,6,120,ConcentrationMax,treePerc,Forest mixed,PM25,46.2070896782061,0.0936274793853299,0.8776548721324782
relative_humidity,-0.010858638103138377,-0.02974902821716349,0.008031752010886736,6,120,ConcentrationMax,treePerc,Forest mixed,PM25,46.2070896782061,0.0936274793853299,0.8776548721324782
temperature_2m,-0.07805886843188983,-0.0984960503046843,-0.05762168655909537,6,120,ConcentrationMax,treePerc,Forest mixed,PM25,46.2070896782061,0.0936274793853299,0.8776548721324782
wind_abs,0.05910787201872696,0.04275957509888019,0.07545616893857374,6,120,ConcentrationMax,treePerc,Forest mixed,PM25,46.2070896782061,0.0936274793853299,0.8776548721324782
green,-0.009578137193513036,-0.013829813517304352,-0.005326460869721721,6,120,ConcentrationMax,treePerc,Forest mixed,O3,-9322.196410589531,0.18152750049384864,0.6885456108044969
totEmission,-0.0035852164378450593,-0.010979784144455561,0.003809351268765443,6,120,ConcentrationMax,treePerc,Forest mixed,O3,-9322.196410589531,0.18152750049384864,0.6885456108044969
total_precipitation,0.02379339216421486,0.018358129207997946,0.029228655120431775,6,120,ConcentrationMax,treePerc,Forest mixed,O3,-9322.196410589531,0.18152750049384864,0.6885456108044969
relative_humidity,-0.07139831326234837,-0.07757642807853822,-0.06522019844615852,6,120,ConcentrationMax,treePerc,Forest mixed,O3,-9322.196410589531,0.18152750049384864,0.6885456108044969
temperature_2m,-2.189139012654913e-5,-0.00732896321146896,0.007285180431215863,6,120,ConcentrationMax,treePerc,Forest mixed,O3,-9322.196410589531,0.18152750049384864,0.6885456108044969
wind_abs,-8.05292557801272e-4,-0.006720470488120463,0.005109885372517919,6,120,ConcentrationMax,treePerc,Forest mixed,O3,-9322.196410589531,0.18152750049384864,0.6885456108044969
green,0.01554448937837315,0.0011750682768296647,0.029913910479916636,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-958.2696769693139,0.057819956851833346,0.8737104628719389
totEmission,0.01626392812464745,-0.005531443153699148,0.038059299402994046,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-958.2696769693139,0.057819956851833346,0.8737104628719389
total_precipitation,-0.0388201158894375,-0.05217341470057274,-0.025466817078302256,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-958.2696769693139,0.057819956851833346,0.8737104628719389
relative_humidity,-0.06202537234800368,-0.08780737453965254,-0.03624337015635482,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-958.2696769693139,0.057819956851833346,0.8737104628719389
temperature_2m,-0.04682948737148599,-0.07145511874890985,-0.022203855994062136,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-958.2696769693139,0.057819956851833346,0.8737104628719389
wind_abs,-0.05105497623328041,-0.0688118415499332,-0.03329811091662763,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-958.2696769693139,0.057819956851833346,0.8737104628719389
green,-8.433870626963261e-4,-0.017025343135564017,0.015338569010171365,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM10,-442.5731711929475,0.05771241778045043,0.6924071819409627
totEmission,0.0037294604359415164,-0.011349892474959804,0.018808813346842836,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM10,-442.5731711929475,0.05771241778045043,0.6924071819409627
total_precipitation,-0.041197018329153914,-0.05895027176946775,-0.023443764888840077,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM10,-442.5731711929475,0.05771241778045043,0.6924071819409627
relative_humidity,0.013870352575680651,-0.0189175407457775,0.0466582458971388,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM10,-442.5731711929475,0.05771241778045043,0.6924071819409627
temperature_2m,0.047155120387043725,0.018704630834902827,0.07560560993918462,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM10,-442.5731711929475,0.05771241778045043,0.6924071819409627
wind_abs,-0.04514875118076538,-0.06521805948584478,-0.025079442875685993,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM10,-442.5731711929475,0.05771241778045043,0.6924071819409627
green,0.0036022134223129866,-0.03094513562321183,0.03814956246783781,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM25,546.0369356467245,0.11729140272091919,0.7082312504183008
totEmission,0.0013307579956463853,-0.027558232315677028,0.0302197483069698,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM25,546.0369356467245,0.11729140272091919,0.7082312504183008
total_precipitation,-0.1269445742890336,-0.16087388071127265,-0.09301526786679457,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM25,546.0369356467245,0.11729140272091919,0.7082312504183008
relative_humidity,0.17444825811973033,0.11118991188631601,0.23770660435314467,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM25,546.0369356467245,0.11729140272091919,0.7082312504183008
temperature_2m,-0.036153380248700434,-0.09199147411341531,0.01968471361601444,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM25,546.0369356467245,0.11729140272091919,0.7082312504183008
wind_abs,-0.08879530266338853,-0.1331960862616966,-0.04439451906508047,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,PM25,546.0369356467245,0.11729140272091919,0.7082312504183008
green,-0.003493318743465187,-0.010576370016401798,0.0035897325294714246,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,O3,-6798.459784830919,0.13840481678549504,0.7382353223664143
totEmission,-0.018625449174438178,-0.028360789274689463,-0.008890109074186891,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,O3,-6798.459784830919,0.13840481678549504,0.7382353223664143
total_precipitation,0.017367458408734736,0.01081929177216846,0.023915625045301012,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,O3,-6798.459784830919,0.13840481678549504,0.7382353223664143
relative_humidity,-0.06805926027170724,-0.0809730020541396,-0.05514551848927488,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,O3,-6798.459784830919,0.13840481678549504,0.7382353223664143
temperature_2m,-0.002961195866658725,-0.014485928395684664,0.008563536662367213,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,O3,-6798.459784830919,0.13840481678549504,0.7382353223664143
wind_abs,0.010977585718082248,0.0028527015046927243,0.01910246993147177,6,120,ConcentrationMax,treePerc,Mediterranean forest/shrubland,O3,-6798.459784830919,0.13840481678549504,0.7382353223664143
green,-0.019063742183570702,-0.035429196215196274,-0.0026982881519451336,6,120,ConcentrationMax,treePerc,Forest coniferous,NO2,-577.4813454905398,0.14632183627176382,0.8946484099942021
totEmission,0.005061495857846699,-0.03890439678677053,0.04902738850246392,6,120,ConcentrationMax,treePerc,Forest coniferous,NO2,-577.4813454905398,0.14632183627176382,0.8946484099942021
total_precipitation,-0.02218154589731451,-0.0452002911007631,8.371993061340802e-4,6,120,ConcentrationMax,treePerc,Forest coniferous,NO2,-577.4813454905398,0.14632183627176382,0.8946484099942021
relative_humidity,-0.09609011535390684,-0.12374058223015977,-0.06843964847765391,6,120,ConcentrationMax,treePerc,Forest coniferous,NO2,-577.4813454905398,0.14632183627176382,0.8946484099942021
temperature_2m,-0.11581193575573191,-0.15356141377541357,-0.07806245773605025,6,120,ConcentrationMax,treePerc,Forest coniferous,NO2,-577.4813454905398,0.14632183627176382,0.8946484099942021
wind_abs,-0.06447485293663299,-0.09333656247570621,-0.03561314339755978,6,120,ConcentrationMax,treePerc,Forest coniferous,NO2,-577.4813454905398,0.14632183627176382,0.8946484099942021
green,-0.013585859553865107,-0.035685635324148805,0.008513916216418593,6,120,ConcentrationMax,treePerc,Forest coniferous,PM10,393.6630717049202,0.15135152277560532,0.7353615626695837
totEmission,0.007520676903197439,-0.04314223555736373,0.05818358936375861,6,120,ConcentrationMax,treePerc,Forest coniferous,PM10,393.6630717049202,0.15135152277560532,0.7353615626695837
total_precipitation,-0.048914693320977316,-0.08278403754246175,-0.015045349099492886,6,120,ConcentrationMax,treePerc,Forest coniferous,PM10,393.6630717049202,0.15135152277560532,0.7353615626695837
relative_humidity,-0.12090892614921248,-0.1661699166507212,-0.07564793564770375,6,120,ConcentrationMax,treePerc,Forest coniferous,PM10,393.6630717049202,0.15135152277560532,0.7353615626695837
temperature_2m,0.03297189043559989,-0.013300336949824555,0.07924411782102433,6,120,ConcentrationMax,treePerc,Forest coniferous,PM10,393.6630717049202,0.15135152277560532,0.7353615626695837
wind_abs,-0.013884638848192134,-0.05122149307366643,0.023452215377282162,6,120,ConcentrationMax,treePerc,Forest coniferous,PM10,393.6630717049202,0.15135152277560532,0.7353615626695837
green,0.004646780346913657,-0.044419941514750844,0.053713502208578165,6,120,ConcentrationMax,treePerc,Forest coniferous,PM25,730.4885362153932,0.12170801649020013,0.7802334994602876
totEmission,-0.08151894047319017,-0.20607665716904805,0.04303877622266773,6,120,ConcentrationMax,treePerc,Forest coniferous,PM25,730.4885362153932,0.12170801649020013,0.7802334994602876
total_precipitation,-0.06702718674132022,-0.14296642587801167,0.00891205239537124,6,120,ConcentrationMax,treePerc,Forest coniferous,PM25,730.4885362153932,0.12170801649020013,0.7802334994602876
relative_humidity,-0.10153354982987635,-0.20125213869087533,-0.0018149609688773854,6,120,ConcentrationMax,treePerc,Forest coniferous,PM25,730.4885362153932,0.12170801649020013,0.7802334994602876
temperature_2m,-0.004332273093112934,-0.11091734726698918,0.10225280108076332,6,120,ConcentrationMax,treePerc,Forest coniferous,PM25,730.4885362153932,0.12170801649020013,0.7802334994602876
wind_abs,-0.1284327354034201,-0.20388273546447006,-0.05298273534237012,6,120,ConcentrationMax,treePerc,Forest coniferous,PM25,730.4885362153932,0.12170801649020013,0.7802334994602876
green,-0.0033064670075795004,-0.018289836347669508,0.011676902332510508,6,120,ConcentrationMax,treePerc,Forest coniferous,O3,-1049.152511165016,0.3251106999804931,0.7350130352985684
totEmission,-0.023303291917513024,-0.050332375992653514,0.0037257921576274618,6,120,ConcentrationMax,treePerc,Forest coniferous,O3,-1049.152511165016,0.3251106999804931,0.7350130352985684
total_precipitation,0.01681642399389564,0.0016786401370879212,0.03195420785070336,6,120,ConcentrationMax,treePerc,Forest coniferous,O3,-1049.152511165016,0.3251106999804931,0.7350130352985684
relative_humidity,-0.09116512210318443,-0.11425226967135182,-0.06807797453501704,6,120,ConcentrationMax,treePerc,Forest coniferous,O3,-1049.152511165016,0.3251106999804931,0.7350130352985684
temperature_2m,0.0321121144964503,0.006923403750812098,0.0573008252420885,6,120,ConcentrationMax,treePerc,Forest coniferous,O3,-1049.152511165016,0.3251106999804931,0.7350130352985684
wind_abs,-0.018500062383776245,-0.04169468325837218,0.004694558490819692,6,120,ConcentrationMax,treePerc,Forest coniferous,O3,-1049.152511165016,0.3251106999804931,0.7350130352985684
green,-0.008562361545097671,-0.03309262105107994,0.015967897960884596,6,120,ConcentrationMax,treePerc,Savanna/grassland,NO2,-369.7011268344195,0.19500251407864957,0.8797469230318509
totEmission,0.024657617987786186,-0.011371328225449145,0.06068656420102152,6,120,ConcentrationMax,treePerc,Savanna/grassland,NO2,-369.7011268344195,0.19500251407864957,0.8797469230318509
total_precipitation,0.06157522750774894,0.030467314441829967,0.09268314057366792,6,120,ConcentrationMax,treePerc,Savanna/grassland,NO2,-369.7011268344195,0.19500251407864957,0.8797469230318509
relative_humidity,-0.1775016639505227,-0.23053534644042173,-0.12446798146062366,6,120,ConcentrationMax,treePerc,Savanna/grassland,NO2,-369.7011268344195,0.19500251407864957,0.8797469230318509
temperature_2m,-0.10202284499899579,-0.15681922122885883,-0.047226468769132765,6,120,ConcentrationMax,treePerc,Savanna/grassland,NO2,-369.7011268344195,0.19500251407864957,0.8797469230318509
wind_abs,-0.010419707076472863,-0.046759648177294236,0.02592023402434851,6,120,ConcentrationMax,treePerc,Savanna/grassland,NO2,-369.7011268344195,0.19500251407864957,0.8797469230318509
green,-0.0361701647014018,-0.08915126216187486,0.01681093275907125,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM10,87.92590195316848,0.3568434531666447,0.7195666975891277
totEmission,-0.029175663567111702,-0.10183471374199554,0.04348338660777213,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM10,87.92590195316848,0.3568434531666447,0.7195666975891277
total_precipitation,-0.04361750418424665,-0.13624457924969186,0.04900957088119855,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM10,87.92590195316848,0.3568434531666447,0.7195666975891277
relative_humidity,-0.17903931250187494,-0.29055602731022806,-0.06752259769352181,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM10,87.92590195316848,0.3568434531666447,0.7195666975891277
temperature_2m,0.005535418674340295,-0.07766768744517338,0.08873852479385397,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM10,87.92590195316848,0.3568434531666447,0.7195666975891277
wind_abs,-0.02211323939670663,-0.07366205694028838,0.029435578146875124,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM10,87.92590195316848,0.3568434531666447,0.7195666975891277
green,-0.03302310842493905,-0.07150963480048614,0.005463417950608042,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM25,214.53052546800586,0.2806299439143676,0.6419030849138696
totEmission,-0.03619267868759266,-0.10580783424103038,0.03342247686584505,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM25,214.53052546800586,0.2806299439143676,0.6419030849138696
total_precipitation,0.035311519543778314,-0.025169415795834697,0.09579245488339133,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM25,214.53052546800586,0.2806299439143676,0.6419030849138696
relative_humidity,-0.2018372315259954,-0.2835613510418225,-0.12011311201016829,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM25,214.53052546800586,0.2806299439143676,0.6419030849138696
temperature_2m,0.01709441323417586,-0.05275538995482798,0.0869442164231797,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM25,214.53052546800586,0.2806299439143676,0.6419030849138696
wind_abs,-4.163254511281983e-4,-0.04885837245612906,0.04802572155387266,6,120,ConcentrationMax,treePerc,Savanna/grassland,PM25,214.53052546800586,0.2806299439143676,0.6419030849138696
green,0.0094399555924252615,3.482317210710458e-4,0.018531679463779475,6,120,ConcentrationMax,treePerc,Savanna/grassland,O3,-2625.3472812582627,0.34767613785442497,0.7201105736575539
totEmission,-0.003244352165759367,-0.015346911926141148,0.008858207594622414,6,120,ConcentrationMax,treePerc,Savanna/grassland,O3,-2625.3472812582627,0.34767613785442497,0.7201105736575539
total_precipitation,0.02513893982058195,0.014196978771673455,0.036080900869490444,6,120,ConcentrationMax,treePerc,Savanna/grassland,O3,-2625.3472812582627,0.34767613785442497,0.7201105736575539
relative_humidity,-0.10838829108279995,-0.12387664755517572,-0.09289993461042417,6,120,ConcentrationMax,treePerc,Savanna/grassland,O3,-2625.3472812582627,0.34767613785442497,0.7201105736575539
temperature_2m,0.012058182576873784,-0.0018421769325373382,0.025958542086284904,6,120,ConcentrationMax,treePerc,Savanna/grassland,O3,-2625.3472812582627,0.34767613785442497,0.7201105736575539
wind_abs,0.012302804750131452,7.161084336080713e-4,0.023889501066654835,6,120,ConcentrationMax,treePerc,Savanna/grassland,O3,-2625.3472812582627,0.34767613785442497,0.7201105736575539
green,-0.05506432066545262,-0.06725436177488053,-0.04287427955602469,6,120,ConcentrationMax,ndvi,Forest mixed,NO2,-4385.329381627314,0.08919060117901247,0.8507553805993278
totEmission,0.042617072436782005,0.030907536685656413,0.0543266081879076,6,120,ConcentrationMax,ndvi,Forest mixed,NO2,-4385.329381627314,0.08919060117901247,0.8507553805993278
total_precipitation,-0.027815236972316085,-0.03557665071205239,-0.02005382323257978,6,120,ConcentrationMax,ndvi,Forest mixed,NO2,-4385.329381627314,0.08919060117901247,0.8507553805993278
relative_humidity,0.005153343592805206,-0.003442788579432002,0.013749475765042415,6,120,ConcentrationMax,ndvi,Forest mixed,NO2,-4385.329381627314,0.08919060117901247,0.8507553805993278
temperature_2m,-0.05302519431644074,-0.06404228184806116,-0.04200810678482032,6,120,ConcentrationMax,ndvi,Forest mixed,NO2,-4385.329381627314,0.08919060117901247,0.8507553805993278
wind_abs,-0.019180691628821477,-0.027761796248706082,-0.010599587008936874,6,120,ConcentrationMax,ndvi,Forest mixed,NO2,-4385.329381627314,0.08919060117901247,0.8507553805993278
green,-0.0025776726708911842,-0.01660692725137914,0.011451581909596774,6,120,ConcentrationMax,ndvi,Forest mixed,PM10,-1357.008711810704,0.10796335190306397,0.8267490273836933
totEmission,0.0198290287680625,0.00453727599024583,0.03512078154587917,6,120,ConcentrationMax,ndvi,Forest mixed,PM10,-1357.008711810704,0.10796335190306397,0.8267490273836933
total_precipitation,-0.0304012967427129,-0.03980433583839278,-0.020998257647033017,6,120,ConcentrationMax,ndvi,Forest mixed,PM10,-1357.008711810704,0.10796335190306397,0.8267490273836933
