"site","site_name","latitude","longitude","elevation","country","country_iso_code","site_type","site_area","date_start","date_end","network","eu_code","eoi_code","observation_count","data_source"
"rs0020a","Kikinda 2",45.820831,20.453615,81,"serbia","RS","industrial","urban",2004-01-01 00:00:00,2008-08-31 00:00:00,NA,NA,NA,5007,"airbase"
"rs0021a","Pancevo 1",44.8675,20.653058,77,"serbia","RS","traffic","urban",2004-01-01 00:00:00,2015-12-26 23:00:00,"NET-RS001A","STA-RS0021A","RS0021A",8817,"airbase; aqer:e1a"
"rs0022a","Pancevo 2",44.8592,20.650011,77,"serbia","RS","industrial","urban",2004-01-01 00:00:00,2010-12-31 00:00:00,NA,NA,NA,6964,"airbase"
"rs0023a","Subotica 1",46.081944,19.671947,102,"serbia","RS","traffic","urban",2004-01-01 00:00:00,2009-12-31 00:00:00,NA,NA,NA,5602,"airbase"
"rs0024a","Subotica 2",46.09972,19.669447,102,"serbia","RS","traffic","urban",2004-01-01 00:00:00,2008-12-31 00:00:00,NA,NA,NA,4601,"airbase"
"rs0025a","Nis-RHMZ",43.33,21.883333,202,"serbia","RS","background","suburban",2005-01-01 00:00:00,2010-12-31 00:00:00,NA,NA,NA,6291,"airbase"
"rs0026a","Sjenica-RHMZ",43.286667,20.003336,1038,"serbia","RS","background","rural",2005-01-01 00:00:00,2010-12-31 00:00:00,NA,NA,NA,6453,"airbase"
"rs0027a","Belgrade-Slavija",44.8008,20.4661,130,"serbia","RS","traffic","urban",2009-01-01 00:00:00,2014-12-30 23:00:00,"NET-RS003A","STA-RS0027A","RS0027A",95400,"airbase; aqer:e1a"
"rs0028a","Belgrade-Mostar",44.798746,20.450184,83,"serbia","RS","traffic","urban",2010-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0028A","RS0028A",612547,"airbase; aqer:e1a; aqer:e2a"
"rs0029a","Novi Sad-SPENS",45.262626,19.819016,78,"serbia","RS","traffic","urban",2010-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0029A","RS0029A",421161,"airbase; aqer:e1a; aqer:e2a"
"rs0030a","Nis-IZJZ",43.316552,21.913548,200,"serbia","RS","traffic","urban",2010-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0030A","RS0030A",448558,"airbase; aqer:e1a; aqer:e2a"
"rs0031a","Novi Sad-Liman",45.238642,19.835704,81,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 02:00:00,"NET-RS002A","STA-RS0031A","RS0031A",399431,"airbase; aqer:e1a; aqer:e2a"
"rs0032a","Belgrade-Stari grad",44.82112,20.459113,103,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0032A","RS0032A",518194,"airbase; aqer:e1a; aqer:e2a"
"rs0033a","Nis-Osnovna skola Sveti Sava",43.322554,21.919025,198,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0033A","RS0033A",436815,"airbase; aqer:e1a; aqer:e2a"
"rs0034a","Kikinda",45.821483,20.454008,78,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 02:00:00,"NET-RS002A","STA-RS0034A","RS0034A",174764,"airbase; aqer:e1a; aqer:e2a"
"rs0035a","Pancevo-Sodara",44.862975,20.64429,80,"serbia","RS","industrial","urban",2011-01-01 00:00:00,2022-06-14 02:00:00,"NET-RS002A","STA-RS0035A","RS0035A",58309,"airbase; aqer:e1a; aqer:e2a"
"rs0036a","Belgrade-Novi Beograd",44.803179,20.400152,74,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0036A","RS0036A",540779,"airbase; aqer:e1a; aqer:e2a"
"rs0037a","Belgrade-Vracar",44.796959,20.475288,141,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0037A","RS0037A",400963,"airbase; aqer:e1a; aqer:e2a"
